student_id	report_id	grade
1253	3611	5
1254	3618	5
1263	3720	1
1263	3657	2
1263	3643	3
1243	3589	5
1243	3584	5
1323	3584	5
1245	3635	5
1266	3648	4
1266	3647	4
1266	3644	3
1266	3637	3
1266	3629	3
1266	3628	4
1266	3626	5
1266	3620	5
1266	3618	5
1266	3598	5
1266	3596	4
1266	3588	4
1266	3587	4
1266	3548	4
1266	3517	5
1305	3657	3
1305	3648	5
1305	3647	2
1305	3638	5
1305	3637	4
1305	3634	5
1305	3628	4
1305	3619	5
1356	3648	5
1356	3647	3
1356	3637	4
1356	3633	5
1356	3630	3
1356	3629	3
1356	3628	4
1356	3627	5
1356	3626	5
1356	3620	4
1356	3619	5
1356	3618	4
1356	3604	4
1356	3598	4
1356	3589	5
1356	3588	4
1356	3585	5
1356	3569	4
1356	3548	5
1356	3517	5
1243	3657	4
1243	3648	5
1243	3647	5
1243	3638	4
1243	3637	5
1243	3634	5
1243	3619	4
1243	3611	4
1243	3610	3
1243	3604	3
1243	3594	3
1243	3585	3
1243	3582	3
1243	3575	5
1243	3571	5
1243	3569	4
1243	3532	4
1243	3531	3
1268	3658	3
1268	3639	3
1268	3654	3
1268	3646	4
1268	3643	2
1268	3642	2
1268	3641	2
1268	3640	2
1268	3636	2
1268	3635	3
1268	3623	4
1268	3621	4
1268	3613	5
1268	3605	3
1268	3600	3
1268	3591	3
1268	3586	3
1268	3533	3
1268	3529	2
1268	3527	3
1325	3639	3
1325	3624	5
1325	3644	5
1325	3517	4
1325	3605	4
1302	3658	5
1302	3654	4
1302	3646	3
1302	3644	2
1302	3642	4
1302	3632	4
1302	3626	5
1302	3624	5
1302	3621	4
1302	3617	5
1302	3613	3
1302	3605	4
1302	3600	4
1302	3596	3
1302	3591	3
1302	3587	1
1302	3548	3
1302	3527	4
1341	3648	3
1341	3647	4
1260	3641	4
1260	3638	3
1260	3636	3
1260	3635	5
1341	3633	4
1341	3632	5
1341	3644	4
1341	3630	3
1341	3629	4
1341	3628	3
1341	3627	5
1341	3626	4
1341	3624	5
1341	3620	5
1341	3618	4
1341	3617	5
1341	3605	4
1330	3582	2
1307	3720	2
1307	3658	5
1330	3584	3
1307	3654	4
1307	3643	5
1307	3641	4
1307	3640	4
1330	3521	5
1305	3604	5
1305	3594	4
1305	3588	3
1305	3585	5
1305	3582	5
1305	3575	5
1305	3571	5
1305	3569	5
1305	3532	5
1305	3531	3
1305	3589	4
1305	3610	5
1263	3638	5
1263	3521	4
1263	3636	3
1263	3635	3
1263	3623	2
1263	3610	4
1263	3594	5
1263	3586	5
1263	3584	4
1263	3582	4
1263	3575	3
1263	3571	5
1263	3569	5
1263	3532	4
1263	3531	2
1250	3657	4
1250	3648	5
1250	3647	5
1250	3637	3
1250	3633	4
1250	3630	3
1250	3629	3
1250	3618	5
1247	3639	4
1315	3639	3
1315	3644	4
1247	3644	4
1247	3633	3
1315	3633	3
1247	3632	3
1315	3632	3
1315	3629	2
1247	3629	2
1247	3627	3
1315	3627	3
1315	3626	3
1247	3626	3
1247	3624	4
1315	3618	5
1315	3617	4
1247	3617	4
1247	3605	3
1315	3605	3
1315	3600	4
1247	3600	4
1247	3598	4
1315	3598	4
1247	3596	3
1315	3596	3
1247	3587	3
1315	3587	3
1247	3548	3
1315	3548	3
1247	3517	3
1315	3517	3
1247	3646	5
1247	3642	2
1247	3613	4
1247	3527	4
1315	3630	3
